,user.name,created_at,id,full_text,display_text_range,source,retweet_count,favorite_count,user.followers_count,user.friends_count,user.statuses_count,entities.hashtags,entities.urls,partido,tipo de post
41,VOX 🇪🇸,Mon Apr 12 16:19:24 +0000 2021,1381643123009421312,"👉 @Jorgebuxade denuncia que si el Tribunal Constitucional resuelve antes un tema particular de una lista electoral que los recursos contra el estado de alarma quedará deslegitimado.

⬇⬇⬇ https://t.co/Tqj1A5za2F","[0, 186]","<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",385,754,438432,1259,55574,[],[],PSOE,publicación
42,VOX 🇪🇸,Mon Apr 12 14:27:53 +0000 2021,1381615057860186114,"‼️ #ÚLTIMAHORA

VOX y @solidaridad_esp convocan una gran manifestación el 1 de mayo en defensa de los trabajadores.

❌  Contra los sindicatos de clase vendidos a la izquierda y al globalismo.

🇪🇸 ¡Obrero y español, nos vemos en las calles! 

Así lo ha anunciado @Jorgebuxade ⬇️ https://t.co/bXDViEXIeF","[0, 277]","<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",1108,1953,438432,1259,55574,"[{'text': 'ÚLTIMAHORA', 'indices': [3, 14]}]",[],PSOE,publicación
43,VOX 🇪🇸,Mon Apr 12 12:35:45 +0000 2021,1381586840004784130,"📰 @monasterioR ve urgente eliminar los toques de queda y avisa a Gabilondo que las mujeres pueden llegar a las empresas sin su cuota paternalista. 

Nuestra candidata comenta las propuestas de VOX para la Comunidad de Madrid en @europapress ⬇️ 

https://t.co/ZpGIqzA0zo","[0, 269]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",268,585,438432,1259,55574,[],"[{'url': 'https://t.co/ZpGIqzA0zo', 'expanded_url': 'https://www.europapress.es/madrid/noticia-monasterio-ve-urgente-eliminar-toques-queda-dice-psoe-autonomos-no-necesitan-cuota-paternalista-20210412101920.html', 'display_url': 'europapress.es/madrid/noticia…', 'indices': [246, 269]}]",PSOE,publicación
44,VOX 🇪🇸,Mon Apr 12 12:13:14 +0000 2021,1381581170836639745,"Los políticos que nos gobiernan no piensan en las familias.

En VOX lo hacemos y hablaremos de sus problemas. 

Vamos a proteger a las familias 💪🇪🇸

⬇⬇⬇ https://t.co/zwgT5MdSZw","[0, 152]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",557,1109,438432,1259,55574,[],"[{'url': 'https://t.co/zwgT5MdSZw', 'expanded_url': 'https://twitter.com/Santi_ABASCAL/status/1381500176687370240', 'display_url': 'twitter.com/Santi_ABASCAL/…', 'indices': [153, 176]}]",PSOE,publicación
45,VOX 🇪🇸,Mon Apr 12 12:12:36 +0000 2021,1381581012237438978,"🚔 Más detenciones que vuelven a poner de manifiesto que estamos ante la peor oleada de inmigrantes ilegales de los últimos años.

Este Gobierno pagará su indolencia cómplice frente a esta invasión que trae inseguridad y delincuencia a nuestros barrios.

#StopInvasiónMigratoria https://t.co/3aP8aZ09YQ","[0, 277]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",394,721,438432,1259,55574,"[{'text': 'StopInvasiónMigratoria', 'indices': [254, 277]}]","[{'url': 'https://t.co/3aP8aZ09YQ', 'expanded_url': 'https://twitter.com/rubnpulido/status/1381563196234993664', 'display_url': 'twitter.com/rubnpulido/sta…', 'indices': [278, 301]}]",PSOE,publicación
46,VOX 🇪🇸,Mon Apr 12 11:16:37 +0000 2021,1381566922291040256,"La manada del Parque del Oeste de la que la izquierda y los medios no quieren que hables: son menas, okupas, homicidas y delincuentes.

¿Qué más hace falta para que sean deportados y que cumplan pena en sus países?

El 4 de mayo elige España y seguridad. 

https://t.co/ikwga1dt0O","[0, 280]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1512,2726,438432,1259,55574,[],"[{'url': 'https://t.co/ikwga1dt0O', 'expanded_url': 'https://www.elmundo.es/madrid/2021/04/12/607310b821efa03f698b464d.html', 'display_url': 'elmundo.es/madrid/2021/04…', 'indices': [257, 280]}]",PSOE,publicación
47,VOX 🇪🇸,Mon Apr 12 09:19:25 +0000 2021,1381537428373143554,"🇪🇸 ¡Hazte apoderado de VOX! 🇪🇸

El próximo 4 de mayo tenemos el deber de proteger Madrid del asalto comunista.

📲 Apúntate través de este enlace y sé nuestros ojos en la jornada electoral: https://t.co/j56y2BZuYS 

#ProtegeMadrid 💪🇪🇸 https://t.co/qHQhgthl0p","[0, 233]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",680,929,438432,1259,55574,"[{'text': 'ProtegeMadrid', 'indices': [215, 229]}]","[{'url': 'https://t.co/j56y2BZuYS', 'expanded_url': 'http://apoderados.voxespana.es', 'display_url': 'apoderados.voxespana.es', 'indices': [189, 212]}]",PSOE,publicación
48,VOX 🇪🇸,Mon Apr 12 09:05:32 +0000 2021,1381533937055436800,"🔊 A las 12:00 comenzará la rueda de prensa de los lunes de @Jorgebuxade para analizar la actualidad y la campaña en Madrid. 

Puedes seguirla en DIRECTO en este enlace:

https://t.co/Z6O497JO4c","[0, 193]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",81,187,438432,1259,55574,[],"[{'url': 'https://t.co/Z6O497JO4c', 'expanded_url': 'https://youtu.be/aXQZdaxlIAk', 'display_url': 'youtu.be/aXQZdaxlIAk', 'indices': [170, 193]}]",PSOE,publicación
49,VOX 🇪🇸,Mon Apr 12 08:18:40 +0000 2021,1381522140579696640,"‼️ @Santi_ABASCAL a los jóvenes de Pozuelo: 

""Quiero que le digáis a vuestros padres dubitativos qué ocurrió cuando dieron 186 escaños al PP: se subieron los impuestos y se mantuvieron las leyes de género, de memoria histórica y todas las porquerías de la izquierda"".

⬇️⬇️⬇️ https://t.co/9ysKPPNyZE","[0, 276]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1164,2453,438432,1259,55574,[],"[{'url': 'https://t.co/9ysKPPNyZE', 'expanded_url': 'https://twitter.com/Santi_ABASCAL/status/1381500176687370240', 'display_url': 'twitter.com/Santi_ABASCAL/…', 'indices': [277, 300]}]",PSOE,publicación
50,VOX 🇪🇸,Sun Apr 11 21:38:20 +0000 2021,1381360995126370307,"📰 ""¿Se estrellará VOX en Madrid? La calle no parece que vaya por esos derroteros. Más bien, como apuntan casi todas las encuestas, tendrán la cifra clave para que el Gobierno de Madrid no cambie de manos"".

Artículo de @lazaroelmundo para @elmundoes https://t.co/jXIJUoV81Q","[0, 273]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",518,1389,438432,1259,55574,[],"[{'url': 'https://t.co/jXIJUoV81Q', 'expanded_url': 'https://www.elmundo.es/espana/2021/04/11/607316f6fdddffc9268b45cd.html', 'display_url': 'elmundo.es/espana/2021/04…', 'indices': [250, 273]}]",PSOE,publicación
51,VOX 🇪🇸,Sun Apr 11 16:58:45 +0000 2021,1381290637606187011,"Acto con @monasterioR y @Santi_ABASCAL en Ciudad Lineal esta mañana.

Los currantes de los barrios están con VOX y VOX está con ellos 💪🇪🇦 https://t.co/Xv6Q10p6jp","[0, 137]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",460,1120,438432,1259,55574,[],"[{'url': 'https://t.co/Xv6Q10p6jp', 'expanded_url': 'https://twitter.com/Santi_ABASCAL/status/1381275918698745859', 'display_url': 'twitter.com/Santi_ABASCAL/…', 'indices': [138, 161]}]",PSOE,publicación
52,VOX 🇪🇸,Sun Apr 11 16:04:54 +0000 2021,1381277082609651715,"Enorme recibimiento a @monasterioR y @Santi_ABASCAL en Ciudad Lineal esta mañana.

Los currantes de los barrios están con VOX y VOX está con ellos 💪🇪🇦 https://t.co/Xv6Q10p6jp","[0, 150]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",540,1396,438432,1259,55574,[],"[{'url': 'https://t.co/Xv6Q10p6jp', 'expanded_url': 'https://twitter.com/Santi_ABASCAL/status/1381275918698745859', 'display_url': 'twitter.com/Santi_ABASCAL/…', 'indices': [151, 174]}]",PSOE,publicación
