,user.name,created_at,id,full_text,display_text_range,source,retweet_count,favorite_count,user.followers_count,user.friends_count,user.statuses_count,partido,tipo de post,hashtags,campaña
7,🖤Hecho en España (Made in Spain) 🇪🇸🖤,2021-04-27 23:58:50+00:00,1387194560246427649,"Aquí os muestro lo que significa agitar el avispero, no soy de VOX pero escuchando a personajes cómo este, me entran unas ganas de  ser de ese partido. 
Se nota que el chico no va a llegar a cirujano. https://t.co/QY1G3vjMH6","[0, 200]",Twitter for Android,0,0,1583,2120,74777,VOX,mención,[],general
8,Cleopatra,2021-04-27 23:58:46+00:00,1387194544266137609,"@Baba_vox El obrerito, posteado por unas rejas y rodeado de guardaespaldas. Tela porque aún existe gente que le cree.","[10, 117]",Twitter for iPad,0,1,70,209,3029,VOX,mención,[],general
9,Jorge Villet Salas,2021-04-27 23:58:44+00:00,1387194533876805635,"#27Abr #Internacionales
Ayuso supera a las tres izquierdas juntas y consolida la mayoría con Vox https://t.co/NbXgylpI9O a través de @ABCespana","[0, 143]",Twitter Web App,0,0,12913,1216,67891,VOX,mención,"['27Abr', 'Internacionales']",general
0,$ugar Daddy 🇪🇦,2021-04-27 23:59:47+00:00,1387194798935875587,Mónica Más Madrid Médica Madre Mujer Madrileña,"[0, 46]",Twitter for Android,0,2,233,105,4266,Más Madrid,mención,[],general
1,PERROVERDE 🇪🇦 🇦🇲,2021-04-27 23:59:18+00:00,1387194678005665792,"@IgorMontes_ @txevixev @belenisa1965 @Monica_Garcia_G Hasta Lacambra ya ha dejado de hacer esa vinculación ridícula, deja de ponerte en evidencia.","[54, 146]",Twitter Web App,0,0,68,150,2243,Más Madrid,mención,[],general
2,((( MALLORKISTAN ))),2021-04-27 23:58:56+00:00,1387194585898758145,@MasMadridCM lo tiene a huevo para reventar las urnas a votos 🏋🏼‍♀️ #MasMadridTieneMiedo https://t.co/wnn2NgSUB9,"[0, 88]",Twitter for iPhone,0,0,521,375,14945,Más Madrid,mención,['MasMadridTieneMiedo'],general
3,Elecciones Transparentes,2021-04-27 23:57:50+00:00,1387194308281962497,"@JDemocraticaES @MasMadridCM @ierrejon @Monica_Garcia_G @gisbert_ruben No seáis fanáticos...España os necesita.
https://t.co/wq1o74blBt","[71, 135]",Twitter Web App,0,0,5311,71,1264,Más Madrid,mención,[],general
4,Enrique milán,2021-04-27 23:57:30+00:00,1387194222479093761,@Monica_Garcia_G Ignorante,"[17, 26]",Twitter for iPhone,0,0,125,352,1299,Más Madrid,mención,[],general
5,PERROVERDE 🇪🇦 🇦🇲,2021-04-27 23:56:34+00:00,1387193988550168579,@acontraviento @Tam_BS @3porciento_3 @Monica_Garcia_G @Lucia_bcn90 Se nota que es un tema que dominas.,"[67, 102]",Twitter Web App,0,0,68,150,2243,Más Madrid,mención,[],general
6,unocualquiera 🇪🇸,2021-04-27 23:56:11+00:00,1387193891351404544,@guille2702 @juanjodom @PODEMOS @PSOE @vox_es @populares @MasMadridCM Pues ocurre siempre 🤦‍♂️,"[70, 94]",Twitter Web App,0,3,106,173,7271,Más Madrid,mención,[],general
7,Angelines😇😈🍷salud!!,2021-04-27 23:55:55+00:00,1387193825777618947,"@JDemocraticaES @MasMadridCM @ierrejon @Monica_Garcia_G @gisbert_ruben Ahora te vas a creer tú k eres el k implantó la DEMOCRACIA en España con la cara de pijo k tienes. Mi padre luchó por la democracia corriendo delante los grises por cualquier manifestación estudiantil, tú postura favorece a la derecha k seguramente es lo k quieres.","[71, 336]",Twitter for Android,0,0,27,0,2113,Más Madrid,mención,[],general
8,Marian🙏,2021-04-27 23:55:51+00:00,1387193807607828483,@JDemocraticaES @MasMadridCM @ierrejon @Monica_Garcia_G @gisbert_ruben De rompe tu voto nada. A votar todo el mundo! Queréis que pase lo que pasó en Venezuela???,"[71, 161]",Twitter Web App,0,1,1886,5001,42304,Más Madrid,mención,[],general
9,fcjca,2021-04-27 23:55:48+00:00,1387193794664308738,"@panda_astur @JDemocraticaES @MasMadridCM @ierrejon @Monica_Garcia_G @gisbert_ruben ¡Caraaamba! ¡Me he quedao ojiplático! Has dicho las palabras mágicas: ""Se ha equivocado"".
Ese es el camino: ""saber, creer que también nos podemos equivocar en nuestros planteamientos"". Si no hay humildad, no hay razón, y  terminaremos pareciéndonos a aquellos que criticamos.","[84, 359]",Twitter for Android,0,0,19,30,1079,Más Madrid,mención,[],general
0,jeroma 🇪🇸,2021-04-27 23:59:51+00:00,1387194817361416197,@DebatAlRojoVivo Javier Maroto eres  el más mierda 💩 de todo el PP y eso ya es difícil . Felicidades 🎈,"[17, 102]",Twitter for iPhone,0,0,82,237,7134,Partido Popular,mención,[],general
1,☀️ PaulaMIX 💜,2021-04-27 23:59:10+00:00,1387194644564529164,"@DBofetadas dilo sin llorar, al final sois mas de lo mismo que el pp cs vox y mismos insultos. https://t.co/BfLT1UFiHM","[12, 94]",Twitter Web App,0,0,1996,4987,16124,Partido Popular,mención,[],general
